n,t,p
550,28223,932.54
551,28274,932.56
552,28325,932.56
553,28378,932.57
554,28432,932.63
555,28483,932.57
556,28535,932.55
557,28587,932.54
558,28639,932.54
559,28690,932.56
560,28742,932.60
561,28793,932.60
562,28846,932.57
563,28897,932.58
564,28948,932.62
565,29000,932.62
566,29051,932.65
567,29104,932.63
568,29155,932.56
569,29207,932.57
570,29258,932.60
571,29309,932.60
572,29362,932.61
573,29413,932.61
574,29465,932.65
575,29516,932.62
576,29572,932.68
577,29624,932.62
578,29675,932.57
579,29726,932.58
580,29778,932.61
581,29830,932.54
582,29882,932.64
583,29933,932.58
584,29985,932.57
585,30030,932.59
586,30080,932.60
587,30129,932.60
588,30178,932.57
589,30227,932.52
590,30276,932.58
591,30324,932.58
592,30373,932.60
593,30423,932.60
594,30472,932.60
595,30521,932.58
596,30569,932.58
597,30618,932.57
598,30667,932.54
599,30716,932.58
600,30766,932.58
601,30815,932.55
602,30864,932.57
603,30912,932.56
604,30964,932.60
605,31014,932.60
606,31066,932.59
607,31114,932.55
608,31163,932.58
609,31212,932.64
610,31261,932.62
611,31310,932.57
612,31360,932.58
613,31410,932.57
614,31459,932.62
615,31512,932.58
616,31563,932.58
617,31614,932.59
618,31666,932.60
619,31718,932.58
620,31767,932.61
621,31818,932.56
622,31869,932.59
623,31921,932.62
624,31972,932.58
625,32022,932.61
626,32070,932.60
627,32119,932.59
628,32168,932.60
629,32218,932.59
630,32267,932.58
631,32315,932.62
632,32367,932.56
633,32417,932.58
634,32468,932.62
635,32520,932.61
636,32570,932.60
637,32621,932.59
638,32672,932.62
639,32723,932.57
640,32775,932.58
641,32825,932.60
642,32876,932.55
643,32927,932.55
644,32978,932.52
645,33033,932.60
646,33084,932.58
647,33135,932.56
648,33185,932.60
649,33236,932.63
650,33288,932.60
651,33339,932.56
652,33390,932.55
653,33441,932.63
654,33491,932.55
655,33543,932.62
656,33594,932.62
657,33645,932.63
658,33696,932.61
659,33747,932.57
660,33799,932.55
661,33853,932.54
662,33905,932.54
663,33956,932.58
664,34008,932.58
665,34060,932.59
666,34111,932.61
667,34162,932.55
668,34213,932.61
669,34266,932.58
670,34317,932.54
671,34368,932.55
672,34420,932.62
673,34471,932.59
674,34523,932.56
675,34577,932.55
676,34628,932.58
677,34679,932.59
678,34731,932.56
679,34782,932.61
680,34834,932.58
681,34885,932.55
682,34936,932.52
683,34988,932.54
684,35039,932.54
685,35091,932.50
686,35142,932.52
687,35193,932.57
688,35246,932.60
689,35300,932.54
690,35351,932.55
691,35403,932.52
692,35454,932.52
693,35506,932.53
694,35557,932.53
695,35609,932.45
696,35660,932.48
